"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C10";"CP_Radial_D6.3mm_P2.50mm";1;"220uF";;;
2;"C17";"CP_Radial_D6.3mm_P2.50mm";1;"10uF";;;
3;"C6,C5";"C_Disc_D3.4mm_W2.1mm_P2.50mm";2;"22pF";;;
4;"C3";"C_Disc_D3.4mm_W2.1mm_P2.50mm";1;"1nF";;;
5;"C4,C18,C16";"C_Disc_D3.4mm_W2.1mm_P2.50mm";3;"100nF";;;
6;"C7,C2,C1";"C_Disc_D3.4mm_W2.1mm_P2.50mm";3;"220nF";;;
7;"SW1";"EG1206";1;"SW_SPDT";;;
8;"SW5,SW2,SW3,SW6,SW4,SW7";"SW_PUSH-12mm_Wuerth-430476085716";6;"SW_Push";;;
9;"D3,D6,D5,D2,D4,D7";"LED_D5.0mm";6;"LED";;;
10;"R5,R10,R19,R18,R6,R3,R1,R14,R16,R4,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";11;"220";;;
11;"R12,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"680";;;
12;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10";;;
13;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4.7k";;;
14;"R2,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10k";;;
15;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"330";;;
16;"R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"470";;;
17;"J3,J2";"MIDI_DIN5";2;"DIN-5_180degree";;;
18;"H1,H8,H7,H6,H5,H4,H3,H2";"MountingHole_3.2mm_M3";8;"MountingHole";;;
19;"J9";"Tayda_3.5mm_stereo_TRS_jack_A-853";1;"AudioJack3_Ground_Switch";;;
20;"RV5,RV2,RV4,RV3";"Potentiometer_Alps_RK09K_Single_Vertical";4;"R_POT";;;
21;"RV1";"Potentiometer_Alps_RK09K_Single_Vertical";1;"10k";;;
22;"BT1";"SolderWirePad_1x02_P5.08mm_Drill1.5mm";1;"Battery";;;
23;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
24;"U1";"DIP-8_W7.62mm_Socket";1;"6N138";;;
25;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
26;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
27;"J8,J5";"PinHeader_1x05_P2.54mm_Vertical";2;"Conn_01x05_Female";;;
28;"J7";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Female";;;
29;"Y1";"Crystal_HC49-4H_Vertical";1;"Crystal";;;
30;"U2";"DIP-28_W7.62mm_Socket";1;"ATmega328P-PU";;;
31;"U3";"DIP-8_W7.62mm_Socket";1;"LM386";;;
