Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","C_0402_1005Metric",76.223000,-112.522000,0.000000,bottom
"C5","22uF","C_0603_1608Metric",86.360000,-113.258500,270.000000,bottom
"D7","1N4148","D_SOD-123",122.000000,-116.350000,270.000000,bottom
"D8","1N5817","D_SOD-123",109.220000,-134.620000,270.000000,bottom
"R1","680","R_0805_2012Metric",93.980000,-113.538000,270.000000,bottom
"R2","680","R_0805_2012Metric",91.440000,-113.538000,270.000000,bottom
"R3","680","R_0805_2012Metric",88.900000,-113.538000,270.000000,bottom
"R4","680","R_0805_2012Metric",68.580000,-113.538000,270.000000,bottom
"R5","680","R_0805_2012Metric",66.040000,-113.538000,270.000000,bottom
"R6","680","R_0805_2012Metric",60.960000,-139.700000,0.000000,bottom
"R7","220","R_0805_2012Metric",122.000000,-121.937500,90.000000,bottom
"R8","10k","R_0805_2012Metric",106.000000,-117.062500,90.000000,bottom
"R9","470","R_0805_2012Metric",106.000000,-113.000000,270.000000,bottom
"R10","220","R_0805_2012Metric",86.000000,-148.000000,270.000000,bottom
"R11","220","R_0805_2012Metric",89.000000,-148.000000,270.000000,bottom
"R12","220","R_0805_2012Metric",79.756000,-113.459500,270.000000,bottom
"R13","220","R_0805_2012Metric",82.804000,-113.459500,90.000000,bottom
"R14","270","R_0805_2012Metric",73.660000,-113.538000,270.000000,bottom
"U1","6N138","PowerIntegrations_SMD-8",114.000000,-116.000000,180.000000,bottom
